"","V1","V2"
"2059",695.706283,2591.220299
"2060",684.12057,2632.862427
"2061",698.615771,2633.1084663
"2062",677.114846,2643.936326
"2063",702.787103,2625.715783
"2064",642.890279,2656.514699
"2065",677.85798,2709.42887
"2066",673.789054,2694.170064
"2067",676.546929,2584.367483
"2068",654.094083,2572.42305
"2069",674.683537,2540.000309
"2070",694.30827,2508.03934
"2071",687.383896,2606.430436
"2072",691.680858,2593.79786
"2073",698.056659,2697.420493
"2074",691.427656,2641.28858
"2075",682.22749,2699.231024
"2076",700.260189,2633.298929
"2077",729.96482,2591.76488
"2078",742.35853,2592.82244
"2079",712.106078,2589.683168
"2080",735.404213,2652.408503
"2081",750.93074,2612.443545
"2082",786.79953,2574.816331
"2083",768.960364,2620.285895
"2084",753.978814,2553.655434
"2085",706.9949,2568.401177
"2086",694.86123,2613.03474
"2087",636.58471,2555.998815
"2088",687.951348,2628.3435
"2089",759.255035,2691.371067
"2090",825.877916,2573.074196
"2091",798.224952,2607.970652
"2092",806.783237,2614.035551
"2093",808.22759,2649.15864
"2094",801.2715,2647.724699
"2095",798.447212,2637.670688
"2096",811.05787,2706.565978
"2097",808.01034,2709.194078
"2098",798.834,2677.10558
"2099",837.964018,2658.612171
"2100",866.032522,2679.898882
"2101",828.78819,2799.995955
"2102",841.15975,2808.224656
"2103",839.96122,2735.879686
"2104",808.85342,2715.423761
"2105",802.2572,2724.774778
"2106",852.77061,2795.807328
"2107",834.6583,2763.435039
"2108",797.277707,2670.534846
"2109",804.50882,2746.338836
"2110",796.471117,2721.190222
"2111",809.180533,2598.373622
"2112",789.16519,2616.045412
"2113",809.664348,2723.950263
"2114",802.6623372,2610.1597982
"2115",784.15196,2640.821209
"2116",823.562898,2614.768858
"2117",809.194705,2674.935225
"2118",826.175361,2686.691119
"2119",867.81304,2599.134353
"2120",787.926041,2572.049419
"2121",796.466496,2659.095574
"2122",800.33845,2653.68879
"2123",791.170869,2683.947601
"2124",769.058471,2739.197502
"2125",836.82314,2571.437807
"2126",807.03338,2558.41795
"2127",805.68719,2597.964111
"2128",805.51355,2604.15818
"2129",798.4174,2680.157434
"2130",805.55394,2745.203795
"2131",819.185173,2671.009855
"2132",803.570848,2714.793468
"2133",809.684309,2612.784779
"2134",792.269425,2689.333031
"2135",819.540476,2655.265476
"2136",814.7102242,2692.8087692
"2137",825.267897,2645.308827
"2138",840.278964,2626.976889
"2139",800.6431208,2743.5889738
"2140",823.829545,2708.882215
"2141",739.004972,2735.275909
"2142",808.677746,2737.09639
"2143",805.4543158,2650.5268588
"2144",796.138891,2637.530039
"2145",800.3153,2700.907405
"2146",769.568993,2677.907738
"2147",748.33387,2620.739462
"2148",801.45672,2696.300903
"2149",800.480125,2549.933656
"2150",805.699673,2540.614323
"2151",803.08369,2531.792218
"2152",792.65451,2501.50751
"2153",801.952449,2590.938119
"2154",797.11008,2600.87785
"2155",807.639474,2649.344614
"2156",862.420471,2706.1907501
"2157",813.861147,2599.819774
"2158",805.682857,2726.039977
"2159",833.70956,2643.585559
