Epoch time,Significant Wave Height (m)
1662325041,0.21
1662326841,0.2
1662328641,0.21
1662330441,0.21
1662332241,0.21
1662334041,0.22
1662335841,0.21
1662337641,0.23
1662339441,0.22
1662341241,0.24
1662343041,0.25
1662344841,0.25
1662346641,0.24
1662348441,0.21
1662350241,0.2
1662352041,0.2
1662353841,0.21
1662355641,0.25
1662357441,0.26
1662359241,0.27
1662361041,0.3
1662362841,0.29
1662364641,0.28
1662366441,0.26
1662368241,0.25
1662370041,0.21
1662371841,0.21
1662373641,0.2
1662375441,0.2
1662377241,0.19
1662379041,0.2
1662380841,0.18
1662382641,0.17
1662384441,0.16
1662386241,0.15
1662388041,0.15
1662389841,0.16
1662391641,0.15
1662393441,0.14
1662395241,0.16
1662397041,0.15
1662398841,0.13
1662400641,0.16
1662402441,0.16
1662404241,0.15
1662406041,0.16
1662407841,0.16
1662409641,0.16
1662411441,0.14
1662413241,0.16
1662415041,0.17
1662416841,0.18
1662418641,0.21
1662420441,0.23
1662422241,0.24
1662424041,0.26
1662425841,0.26
1662427641,0.3
1662429441,0.28
1662431241,0.32
1662433041,0.33
1662434841,0.39
1662436641,0.39
1662438441,0.4
1662440241,0.44
1662442041,0.4
1662443841,0.44
1662445641,0.38
1662447441,0.35
1662449241,0.37
1662451041,0.35
1662452841,0.31
1662454641,0.31
1662456441,0.33
1662458241,0.27
1662460041,0.3
1662461841,0.3
1662463641,0.28
1662465441,0.28
1662467241,0.31
1662469041,0.3
1662470841,0.29
1662472641,0.26
1662474441,0.26
1662476241,0.25
1662478041,0.23
1662479841,0.22
1662481641,0.23
1662483441,0.22
1662485241,0.23
1662487041,0.22
1662488841,0.2
1662490641,0.22
1662492441,0.2
1662494241,0.2
1662496041,0.23
1662497841,0.23
1662499641,0.21
1662501441,0.24
1662503241,0.25
1662505041,0.27
1662506841,0.27
1662508641,0.25
1662510441,0.26
1662512241,0.27
1662514041,0.32
1662515841,0.34
1662517641,0.38
1662519441,0.41
1662521241,0.4
1662523041,0.39
1662524841,0.39
1662526641,0.39
1662528441,0.37
1662530241,0.36
1662532041,0.38
1662533841,0.39
1662535641,0.38
1662537441,0.38
1662539241,0.38
1662541041,0.43
1662542841,0.44
1662544641,0.42
1662546441,0.42
1662548241,0.4
1662550041,0.39
1662551841,0.38
1662553641,0.36
1662555441,0.37
1662557241,0.37
1662559041,0.38
1662560841,0.35
1662562641,0.33
1662564441,0.36
1662566241,0.34
1662568041,0.37
1662569841,0.35
1662571641,0.36
1662573441,0.37
1662575241,0.39
1662577041,0.37
1662578841,0.38
1662580641,0.34
1662582441,0.36
1662584241,0.38
1662586041,0.4
1662587841,0.42
1662589641,0.42
1662591441,0.44
1662593241,0.38
1662595041,0.39
1662596841,0.38
1662598641,0.39
1662600441,0.39
1662602241,0.4
1662604041,0.41
1662605841,0.39
1662607641,0.43
1662609441,0.4
1662611241,0.37
1662613041,0.36
1662614841,0.37
1662616641,0.4
1662618441,0.39
1662620241,0.38
1662622041,0.33
1662623841,0.36
1662625641,0.37
1662627441,0.36
1662629241,0.33
1662631041,0.31
1662632841,0.29
1662634641,0.31
1662636441,0.29
1662638241,0.26
1662640041,0.26
1662641841,0.26
1662643641,0.29
