time,height
1632206041,0.56
1632207841,0.51
1632209641,0.52
1632211441,0.49
1632213241,0.52
1632215041,0.48
1632216841,0.46
1632218641,0.49
1632220441,0.45
1632222241,0.49
1632224041,0.48
1632225841,0.45
1632227641,0.45
1632229441,0.4
1632231241,0.38
1632233041,0.39
1632234841,0.37
1632236641,0.37
1632238441,0.37
1632240241,0.41
1632242041,0.42
1632243841,0.42
1632245641,0.42
1632247441,0.47
1632249241,0.46
1632251041,0.44
1632252841,0.5
1632254641,0.47
1632256441,0.47
1632258241,0.43
1632260041,0.39
1632261841,0.41
1632263641,0.36
1632265441,0.36
1632267241,0.38
1632269041,0.38
1632270841,0.39
1632272641,0.42
1632274441,0.41
1632276241,0.4
1632278041,0.42
1632279841,0.35
1632281641,0.38
1632283441,0.36
1632285241,0.36
1632287041,0.33
1632288841,0.34
1632290641,0.3
1632292441,0.28
1632294241,0.34
1632296041,0.31
1632297841,0.31
1632299641,0.29
1632301441,0.33
1632303241,0.29
1632305041,0.26
1632306841,0.26
1632308641,0.26
1632310441,0.27
1632312241,0.26
1632314041,0.27
1632315841,0.27
1632317641,0.27
1632319441,0.28
1632321241,0.3
1632323041,0.31
1632324841,0.33
1632326641,0.33
1632328441,0.35
1632330241,0.35
1632332041,0.32
1632333841,0.33
1632335641,0.35
1632337441,0.34
1632339241,0.36
1632341041,0.38
1632342841,0.37
1632344641,0.39
1632346441,0.39
1632348241,0.42
1632350041,0.44
1632351841,0.47
1632353641,0.52
1632355441,0.55
1632357241,0.56
1632359041,0.56
1632360841,0.63
1632362641,0.59
1632364441,0.53
1632366241,0.53
1632368041,0.55
1632369841,0.55
1632371641,0.57
1632373441,0.58
1632375241,0.63
1632377041,0.78
1632378841,0.91
1632380641,0.96
1632382441,1
1632384241,0.91
1632386041,0.94
1632387841,0.83
1632389641,0.89
1632391441,0.84
1632393241,0.87
1632395041,1.01
1632396841,1.03
1632398641,1.07
1632400441,1.08
1632402241,1.12
1632404041,1.21
1632405841,1.18
1632407641,1.16
1632409441,1.14
1632411241,1.18
1632413041,1.16
1632414841,1.2
1632416641,1.19
1632418441,1.31
1632420241,1.43
1632422041,1.44
1632423841,1.37
1632425641,1.26
1632427441,1.27
1632429241,1.3
1632431041,1.22
1632432841,1.26
1632434641,1.13
1632436441,1.24
1632438241,1.26
1632440041,1.24
1632441841,1.24
1632443641,1.27
1632445441,1.2
1632447241,1.11
1632449041,1.12
1632450841,1.18
1632452641,1.07
1632454441,1.08
1632456241,1.04
1632458041,1.06
1632459841,1.02
1632461641,1.03
1632463441,1.02
1632465241,1.03
1632467041,0.97
1632468841,0.9
1632470641,0.92
1632472441,0.92
1632474241,0.85
1632476041,0.86
1632477841,0.83
1632479641,0.87
1632481441,0.9
1632483241,0.89
1632485041,0.82
1632486841,0.79
1632488641,0.79
1632490441,0.81
1632492241,0.86
1632494041,0.84
1632495841,0.75
1632497641,0.73
1632499441,0.66
1632501241,0.62
1632503041,0.6
1632504841,0.61
1632506641,0.58
1632508441,0.53
1632510241,0.56
1632512041,0.55
1632513841,0.54
1632515641,0.52
1632517441,0.54
1632519241,0.53
1632521041,0.58
1632522841,0.56
1632524641,0.48
1632526441,0.51
1632528241,0.45
1632530041,0.41
1632531841,0.37
1632533641,0.34
1632535441,0.33
1632537241,0.33
1632539041,0.36
1632540841,0.32
1632542641,0.33
1632544441,0.35
1632546241,0.32
1632548041,0.3
1632549841,0.29
1632551641,0.3
1632553441,0.27
1632555241,0.26
1632557041,0.28
1632558841,0.27
1632560641,0.26
1632562441,0.29
1632564241,0.27
1632566041,0.26
1632567841,0.26
1632569641,0.26
1632571441,0.25
1632573241,0.24
1632575041,0.27
1632576841,0.27
1632578641,0.27
1632580441,0.23
1632582241,0.26
1632584041,0.24
1632585841,0.23
1632587641,0.22
1632589441,0.24
1632591241,0.23
1632593041,0.23
1632594841,0.22
1632596641,0.2
1632598441,0.29
1632600241,0.47
1632602041,0.69
1632603841,0.89
1632605641,0.99
1632607441,1.17
1632609241,1.26
1632611041,1.31
1632612841,1.32
1632614641,1.47
1632616441,1.49
1632618241,1.51
1632620041,1.56
1632621841,1.59
1632623641,1.63
1632625441,1.61
1632627241,1.63
1632629041,1.63
1632630841,1.69
1632632641,1.7
1632634441,1.71
1632636241,1.8
1632638041,1.8
1632639841,1.67
1632641641,1.72
1632643441,1.6
1632645241,1.63
1632647041,1.73
1632648841,1.7
1632650641,1.73
1632652441,1.75
1632654241,1.72
1632656041,1.62
1632657841,1.62
1632659641,1.64
1632661441,1.61
1632663241,1.46
1632665041,1.62
1632666841,1.58
1632668641,1.54
1632670441,1.59
1632672241,1.67
1632674041,1.67
1632675841,1.6
1632677641,1.61
1632679441,1.46
1632681241,1.53
1632683041,1.47
1632684841,1.42
1632686641,1.41
1632688441,1.44
1632690241,1.23
1632692041,1.22
1632693841,1.19
1632695641,1.2
1632697441,1.09
1632699241,1.13
1632701041,1.01
1632702841,1.07
1632704641,1.1
1632706441,1.11
1632708241,1.07
1632710041,1.05
1632711841,1.05
1632713641,1.01
1632715441,1.02
1632717241,0.98
1632719041,0.95
1632720841,0.87
1632722641,0.91
1632724441,0.82
1632726241,0.7
1632728041,0.71
1632729841,0.67
1632731641,0.69
1632733441,0.6
1632735241,0.58
1632737041,0.59
1632738841,0.53
1632740641,0.4
1632742441,0.38
1632744241,0.4
1632746041,0.39
1632747841,0.39
1632749641,0.38
1632751441,0.48
1632753241,0.55
1632755041,0.69
1632756841,0.8
1632758641,0.69
1632760441,0.64
1632762241,0.65
1632764041,0.65
1632765841,0.62
1632767641,0.65
1632769441,0.64
1632771241,0.6
1632773041,0.63
1632774841,0.69
1632776641,0.7
1632778441,0.79
1632780241,0.87
1632782041,0.91
1632783841,1.01
1632785641,1.03
1632787441,1.18
1632789241,1.18
1632791041,1.19
1632792841,1.26
1632794641,1.17
1632796441,1.2
1632798241,1.04
1632800041,1.07
1632801841,1.05
1632803641,1
1632805441,0.97
1632807241,0.92
1632809041,0.84
1632810841,0.76
1632812641,0.76
1632814441,0.71
