time,height
1631219179,0.24
1631220979,0.24
1631222779,0.23
1631224579,0.22
1631226379,0.21
1631228179,0.22
1631229979,0.22
1631231779,0.22
1631233579,0.21
1631235379,0.24
1631237179,0.24
1631238979,0.23
1631240779,0.26
1631242579,0.27
1631244379,0.29
1631246179,0.29
1631247979,0.29
1631249779,0.31
1631251579,0.32
1631253379,0.3
1631255179,0.33
1631256979,0.33
1631258779,0.28
1631260579,0.29
1631262379,0.28
1631264179,0.28
1631265979,0.26
1631267779,0.24
1631269579,0.24
1631271379,0.27
1631273179,0.26
1631274979,0.28
1631276779,0.28
1631278579,0.27
1631280379,0.27
1631282179,0.26
1631283979,0.26
1631285779,0.25
1631287579,0.26
1631289379,0.25
1631291179,0.26
1631292979,0.27
1631294779,0.27
1631296579,0.27
1631298379,0.29
1631300179,0.31
1631301979,0.32
1631303779,0.28
1631305579,0.28
1631307379,0.28
1631309179,0.29
1631310979,0.29
1631312779,0.28
1631314579,0.27
1631316379,0.27
1631318179,0.27
1631319979,0.25
1631321779,0.24
1631323579,0.25
1631325379,0.25
1631327179,0.27
1631328979,0.25
1631330779,0.25
1631332579,0.25
1631334379,0.23
1631336179,0.24
1631337979,0.24
1631339779,0.21
1631341579,0.22
1631343379,0.23
1631345179,0.25
1631346979,0.25
1631348779,0.25
1631350579,0.26
1631352379,0.28
1631354179,0.23
1631355979,0.27
1631357779,0.27
1631359579,0.25
1631361379,0.29
1631363179,0.28
1631364979,0.27
1631366779,0.31
1631368579,0.28
1631370379,0.28
1631372179,0.29
1631373979,0.28
1631375779,0.28
1631377579,0.28
1631379379,0.27
1631381179,0.25
1631382979,0.26
1631384779,0.26
1631386579,0.27
1631388379,0.26
1631390179,0.26
1631391979,0.22
1631393779,0.24
1631395579,0.21
1631397379,0.23
1631399179,0.22
1631400979,0.24
1631402779,0.27
1631404579,0.29
1631406379,0.27
1631408179,0.26
1631409979,0.26
1631411779,0.25
1631413579,0.24
1631415379,0.22
1631417179,0.23
1631418979,0.22
1631420779,0.21
1631422579,0.21
1631424379,0.2
1631426179,0.21
1631427979,0.25
1631429779,0.23
1631431579,0.19
1631433379,0.19
1631435179,0.19
1631436979,0.2
1631438779,0.2
1631440579,0.22
1631442379,0.28
1631444179,0.4
1631445979,0.44
1631447779,0.49
1631449579,0.51
1631451379,0.54
1631453179,0.59
1631454979,0.6
1631456779,0.64
1631458579,0.67
1631460379,0.67
1631462179,0.64
1631463979,0.66
1631465779,0.63
1631467579,0.63
1631469379,0.62
1631471179,0.64
1631472979,0.57
1631474779,0.59
1631476579,0.6
1631478379,0.61
1631480179,0.63
1631481979,0.6
1631483779,0.64
1631485579,0.71
1631487379,0.7
1631489179,0.71
1631490979,0.66
1631492779,0.62
1631494579,0.59
1631496379,0.63
1631498179,0.6
1631499979,0.6
1631501779,0.61
1631503579,0.63
1631505379,0.59
1631507179,0.63
1631508979,0.57
1631510779,0.62
1631512579,0.67
1631514379,0.67
1631516179,0.67
1631517979,0.73
1631519779,0.69
1631521579,0.66
1631523379,0.66
1631525179,0.65
1631526979,0.59
1631528779,0.6
1631530579,0.59
1631532379,0.54
1631534179,0.52
1631535979,0.52
1631537779,0.48
1631539579,0.48
1631541379,0.52
1631543179,0.52
1631544979,0.56
1631546779,0.57
1631548579,0.58
1631550379,0.62
1631552179,0.61
1631553979,0.71
1631555779,0.64
1631557579,0.63
1631559379,0.72
1631561179,0.69
1631562979,0.68
1631564779,0.66
1631566579,0.63
1631568379,0.61
1631570179,0.63
1631571979,0.64
1631573779,0.64
1631575579,0.61
1631577379,0.65
1631579179,0.68
1631580979,0.67
1631582779,0.63
1631584579,0.69
1631586379,0.64
1631588179,0.65
1631589979,0.63
1631591779,0.66
1631593579,0.68
1631595379,0.72
1631597179,0.71
1631598979,0.74
1631600779,0.71
1631602579,0.74
1631604379,0.72
1631606179,0.76
1631607979,0.7
1631609779,0.7
1631611579,0.76
1631613379,0.73
1631615179,0.67
1631616979,0.71
1631618779,0.65
1631620579,0.66
1631622379,0.68
1631624179,0.66
1631625979,0.59
1631627779,0.59
1631629579,0.55
1631631379,0.6
1631633179,0.56
1631634979,0.5
1631636779,0.55
1631638579,0.54
1631640379,0.53
1631642179,0.54
1631643979,0.54
1631645779,0.53
1631647579,0.55
1631649379,0.55
1631651179,0.54
1631652979,0.58
1631654779,0.55
1631656579,0.6
1631658379,0.55
1631660179,0.61
1631661979,0.59
1631663779,0.59
1631665579,0.54
1631667379,0.53
1631669179,0.48
1631670979,0.47
1631672779,0.43
1631674579,0.42
1631676379,0.39
1631678179,0.38
1631679979,0.35
1631681779,0.39
1631683579,0.37
1631685379,0.37
1631687179,0.36
1631688979,0.34
1631690779,0.34
1631692579,0.33
1631694379,0.35
1631696179,0.39
1631697979,0.36
1631699779,0.38
1631701579,0.35
1631703379,0.34
1631705179,0.35
1631706979,0.32
1631708779,0.29
1631710579,0.3
1631712379,0.26
1631714179,0.26
1631715979,0.24
1631717779,0.24
1631719579,0.24
1631721379,0.21
1631723179,0.23
1631724979,0.22
1631726779,0.22
1631728579,0.22
1631730379,0.22
1631732179,0.22
1631733979,0.22
1631735779,0.19
1631737579,0.22
1631739379,0.2
1631741179,0.2
1631742979,0.21
1631744779,0.21
1631746579,0.22
1631748379,0.19
1631750179,0.2
1631751979,0.2
1631753779,0.19
1631755579,0.2
1631757379,0.2
1631759179,0.2
1631760979,0.2
1631762779,0.2
1631764579,0.19
1631766379,0.18
1631768179,0.2
1631769979,0.19
1631771779,0.21
1631773579,0.21
1631775379,0.2
1631777179,0.2
1631778979,0.2
1631780779,0.21
1631782579,0.22
1631784379,0.21
1631786179,0.2
1631787979,0.21
1631789779,0.24
1631791579,0.26
1631793379,0.23
1631795179,0.22
1631796979,0.23
1631798779,0.25
1631800579,0.26
1631802379,0.3
1631804179,0.4
1631805979,0.45
1631807779,0.44
1631809579,0.45
1631811379,0.47
1631813179,0.48
1631814979,0.5
1631816779,0.51
1631818579,0.54
1631820379,0.53
1631822179,0.53
1631823979,0.5
1631825779,0.48
1631827579,0.51
1631829379,0.47
1631831179,0.5
1631832979,0.46
1631834779,0.47
1631836579,0.45
1631838379,0.45
1631840179,0.44
1631841979,0.48
1631843779,0.48
1631845579,0.55
1631847379,0.59
1631849179,0.6
1631850979,0.55
1631852779,0.62
1631854579,0.64
1631856379,0.61
1631858179,0.66
